event_type	onset	duration	height	word
7	451.898	0.000	0	wul
7	452.058	0.000	0	yego
7	453.001	0.000	0	adoz
7	453.292	0.000	0	ap
7	453.506	0.000	0	kui
7	453.654	0.000	0	nigoq'w
7	454.028	0.000	0	yaup
7	454.301	0.000	0	olndzojm
7	454.846	0.000	0	vs
7	455.143	0.000	0	rob
7	455.392	0.000	0	kog.
7	456.679	0.000	0	Ca
7	456.786	0.000	0	puyop
7	457.189	0.000	0	cuop
7	457.480	0.000	0	yitycuk
7	457.836	0.000	0	ukn
7	457.996	0.000	0	revhf
7	458.346	0.000	0	gaiwd
7	458.649	0.000	0	uti,
7	459.568	0.000	0	fqugu
7	459.770	0.000	0	um
7	459.895	0.000	0	naoqr
7	460.357	0.000	0	jtaqcg-xeza
7	461.039	0.000	0	wfopb,
7	461.935	0.000	0	ixq
7	462.072	0.000	0	fafu
7	462.250	0.000	0	zguf
7	462.469	0.000	0	axu
7	462.777	0.000	0	zeswtoj
7	463.211	0.000	0	obc
7	463.394	0.000	0	wejgw
7	463.774	0.000	0	yuatk.
7	464.569	0.000	0	
